"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9","test_mouvement_sortie_stock_insuffisant_est_refuse","tests","2026-09-10","passed","2026-09-10","","test_api_pieces","",""
"","380","test_creer_piece_reference_dupliquee_affiche_erreur[chromium]","tests","2026-09-10","passed","2026-09-10","","test_ui_pieces","",""
"","9","test_modifier_seuil_alerte","tests","2026-09-10","passed","2026-09-10","","test_api_pieces","",""
"","13","test_mouvement_entree_augmente_le_stock","tests","2026-09-10","passed","2026-09-10","","test_api_pieces","",""
"","364","test_sortie_stock_insuffisant_affiche_erreur[chromium]","tests","2026-09-10","passed","2026-09-10","","test_ui_pieces","",""
"","7","test_mouvement_quantite_negative_est_refuse","tests","2026-09-10","passed","2026-09-10","","test_api_pieces","",""
"","189","test_page_charge_correctement[chromium]","tests","2026-09-10","passed","2026-09-10","","test_ui_pieces","",""
"","8","test_creer_piece_reference_dupliquee","tests","2026-09-10","passed","2026-09-10","","test_api_pieces","",""
"","302","test_creer_piece_via_formulaire[chromium]","tests","2026-09-10","passed","2026-09-10","","test_ui_pieces","",""
"","10","test_lister_pieces_contient_la_piece_creee","tests","2026-09-10","passed","2026-09-10","","test_api_pieces","",""
"","18","test_historique_mouvements_enregistre_les_mouvements","tests","2026-09-10","passed","2026-09-10","","test_api_pieces","",""
"","314","test_alerte_stock_bas_saffiche[chromium]","tests","2026-09-10","passed","2026-09-10","","test_ui_pieces","",""
"","9","test_obtenir_piece_inexistante_renvoie_404","tests","2026-09-10","passed","2026-09-10","","test_api_pieces","",""
"","10","test_creer_piece_succes","tests","2026-09-10","passed","2026-09-10","","test_api_pieces","",""
"","5","test_creer_piece_quantite_negative","tests","2026-09-10","passed","2026-09-10","","test_api_pieces","",""
"","16","test_supprimer_piece","tests","2026-09-10","passed","2026-09-10","","test_api_pieces","",""
"","13","test_modifier_designation_piece","tests","2026-09-10","passed","2026-09-10","","test_api_pieces","",""
"","9","test_mouvement_sortie_diminue_le_stock","tests","2026-09-10","passed","2026-09-10","","test_api_pieces","",""
